Product_Name,Price,Rating,Availability,Product_Link
Sneakers For Women  (White),₹299,3.9★,Available,https://www.flipkart.com/layasa-sneakers-women/p/itm6e7605e058a36?pid=SHOGK8JHAJK3WB2N&lid=LSTSHOGK8JHAJK3WB2NRLRVEI&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGK8JHAJK3WB2N.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Sneakers For Men  (White),₹299,3.7★,Available,https://www.flipkart.com/layasa-sneakers-men/p/itm033899612ce4c?pid=SHOGHM99RVPZK7PZ&lid=LSTSHOGHM99RVPZK7PZZW8HCN&marketplace=FLIPKART&q=sneakers&store=osp&spotlightTagId=BestsellerId_osp&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGHM99RVPZK7PZ.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Rungryp Sneakers For Men  (White),"₹2,249",4.3★,Available,https://www.flipkart.com/puma-rungryp-sneakers-men/p/itm59a040629525c?pid=SHOGQAZDFHDFGTWZ&lid=LSTSHOGQAZDFHDFGTWZX9RYBS&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGQAZDFHDFGTWZ.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"MADRYN 2.O Sneakers For Men  (White, Black)","₹1,629",4.2★,Available,https://www.flipkart.com/u-s-polo-assn-madryn-2-o-sneakers-men/p/itm88fc525a3e026?pid=SHOG8THY5Y55DXJG&lid=LSTSHOG8THY5Y55DXJGYEGMW3&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_36&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOG8THY5Y55DXJG.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Stylish,Training,Daily Use Sneakers For Men  (Black, White)",₹339,3.6★,Available,https://www.flipkart.com/aadi-lightweight-comfort-summer-trendy-walking-outdoor-stylish-training-daily-use-sneakers-men/p/itm6f9d6c57613be?pid=SHOGZSZ9GS2KGUNT&lid=LSTSHOGZSZ9GS2KGUNTFPV2EE&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaox4FKFNzNi1I3XPfZJ-A6XPNdTd5IUyp5xPKJDHJr8zag%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Hustle V2 Sneakers For Men  (Black),"₹1,198",4.2★,Available,https://www.flipkart.com/puma-hustle-v2-sneakers-men/p/itm7827dd756c4f3?pid=SHOG4JEYHFRRRC2J&lid=LSTSHOG4JEYHFRRRC2JZCUS94&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOG4JEYHFRRRC2J.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Combo Pack Of 2 Casual Shoes Sneakers For Men  (Blue),₹497,3.7★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-sneakers-men/p/itm7491875db10a9?pid=SHOGHMDP7GHB5HSU&lid=LSTSHOGHMDP7GHB5HSUD2ONR1&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaow5jhY7h0pQunbkVC7UGe_6hTgFv_78wfqjlfXDCGoDxQ%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Lightweight,Comfort,Summer,Trendy,Walking,Outdoor,Stylish,Training,Daily Use Sneakers For Men  (White, Black, Red)",₹289,3.7★,Available,https://www.flipkart.com/aadi-lightweight-comfort-summer-trendy-walking-outdoor-stylish-training-daily-use-sneakers-men/p/itma442bf9226209?pid=SHOGMYMK3M7EVX39&lid=LSTSHOGMYMK3M7EVX39CFNUYS&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a0bb689d-0810-4a3d-bdf5-f3b0377cd5a5.SHOGMYMK3M7EVX39.SEARCH&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
Combo Pack Of 2 Casual Shoes Sneakers For Men  (Blue),₹497,3.8★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-sneakers-men/p/itmc7635b46cf505?pid=SHOGFHSHBBAFSUDJ&lid=LSTSHOGFHSHBBAFSUDJNZQAU6&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaozGvY1RUYf8RLXnED6S2FlXbtRCqG68JxPec60byHy8Gw%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
"Combo Pack Of 2 Casual Shoes for mens Sneakers For Men  (Black, Blue, Green)",₹497,3.7★,Available,https://www.flipkart.com/bruton-combo-pack-2-casual-shoes-mens-sneakers-men/p/itm564e1264a8087?pid=SHOGGBMZKZC2C5X6&lid=LSTSHOGGBMZKZC2C5X6Z810EW&marketplace=FLIPKART&q=sneakers&store=osp&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=en_rq0MiuaSeiT3RGJ0yaNOXXW0GjIsOkLLYMlBZWRXaow8VNz7VzuEZ7fOlMSRYLwfWsoVYSMkJeBwTiFvW7QNsw%3D%3D&ppt=None&ppn=None&ssid=x9xx4guiq80000001699333375167&qH=a1743c0d39461290
